observation,yield,gravity,pressure,temp10,temp,batch,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
1,0.122,50.8,8.6,190,205,1,1,0,0,0,0,0,0,0,0,0
2,0.223,50.8,8.6,190,275,1,1,0,0,0,0,0,0,0,0,0
3,0.347,50.8,8.6,190,345,1,1,0,0,0,0,0,0,0,0,0
4,0.457,50.8,8.6,190,407,1,1,0,0,0,0,0,0,0,0,0
5,0.080,40.8,3.5,210,218,2,0,1,0,0,0,0,0,0,0,0
6,0.131,40.8,3.5,210,273,2,0,1,0,0,0,0,0,0,0,0
7,0.266,40.8,3.5,210,347,2,0,1,0,0,0,0,0,0,0,0
8,0.074,40.0,6.1,217,212,3,0,0,1,0,0,0,0,0,0,0
9,0.182,40.0,6.1,217,272,3,0,0,1,0,0,0,0,0,0,0
10,0.304,40.0,6.1,217,340,3,0,0,1,0,0,0,0,0,0,0
11,0.069,38.4,6.1,220,235,4,0,0,0,1,0,0,0,0,0,0
12,0.152,38.4,6.1,220,300,4,0,0,0,1,0,0,0,0,0,0
13,0.260,38.4,6.1,220,365,4,0,0,0,1,0,0,0,0,0,0
14,0.336,38.4,6.1,220,410,4,0,0,0,1,0,0,0,0,0,0
15,0.144,40.3,4.8,231,307,5,0,0,0,0,1,0,0,0,0,0
16,0.268,40.3,4.8,231,367,5,0,0,0,0,1,0,0,0,0,0
17,0.349,40.3,4.8,231,395,5,0,0,0,0,1,0,0,0,0,0
18,0.100,32.2,5.2,236,267,6,0,0,0,0,0,1,0,0,0,0
19,0.248,32.2,5.2,236,360,6,0,0,0,0,0,1,0,0,0,0
20,0.317,32.2,5.2,236,402,6,0,0,0,0,0,1,0,0,0,0
21,0.028,41.3,1.8,267,235,7,0,0,0,0,0,0,1,0,0,0
22,0.064,41.3,1.8,267,275,7,0,0,0,0,0,0,1,0,0,0
23,0.161,41.3,1.8,267,358,7,0,0,0,0,0,0,1,0,0,0
24,0.278,41.3,1.8,267,416,7,0,0,0,0,0,0,1,0,0,0
25,0.050,38.1,1.2,274,285,8,0,0,0,0,0,0,0,1,0,0
26,0.176,38.1,1.2,274,365,8,0,0,0,0,0,0,0,1,0,0
27,0.321,38.1,1.2,274,444,8,0,0,0,0,0,0,0,1,0,0
28,0.140,32.2,2.4,284,351,9,0,0,0,0,0,0,0,0,1,0
29,0.232,32.2,2.4,284,424,9,0,0,0,0,0,0,0,0,1,0
30,0.085,31.8,0.2,316,365,10,0,0,0,0,0,0,0,0,0,1
31,0.147,31.8,0.2,316,379,10,0,0,0,0,0,0,0,0,0,1
32,0.18,31.8,0.2,316,428,10,0,0,0,0,0,0,0,0,0,1
